document_id,arm_id,Combined follow up_old,Combined follow up_new,Abstinence type_old,Abstinence type_new,Abstinence: Continuous _old,Abstinence: Continuous _new,Abstinence: Point Prevalence _old,Abstinence: Point Prevalence _new,6451791_old,6451791_new,6451788_old,6451788_new,6080485_old,6080485_new,Manually added follow-up duration value_old,Manually added follow-up duration value_new,Manually added follow-up duration units_old,Manually added follow-up duration units_new,6080481_old,6080481_new,6080512_old,6080512_new,6823485_old,6823485_new,1.1.Goal setting_old,1.1.Goal setting_new,6452746_old,6452746_new,3.1 Social support_old,3.1 Social support_new,6452831_old,6452831_new,6452838_old,6452838_new,6452948_old,6452948_new,6452949_old,6452949_new,6080704_old,6080704_new,pychologist_old,pychologist_new,aggregate patient role_old,aggregate patient role_new,6080518_old,6080518_new,6080719_old,6080719_new,"Pregnancy trial 1 = yes, 2 = mix pg and non-pg_old","Pregnancy trial 1 = yes, 2 = mix pg and non-pg_new","Relapse prevention trial (1 = yes, 2 = mix of quitters and non-abstinent)_old","Relapse prevention trial (1 = yes, 2 = mix of quitters and non-abstinent)_new",6080694_old,6080694_new
423124,1947,52,52.2,,PP,,0,,1,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423124,1946,52,52.2,,PP,,0,,1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252905,68,,52.2,,PP,,0,,1,,7,0,1,37,36.7,,12,,months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252905,70,,52.2,,PP,,0,,1,,4,0,1,,,,12,,months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252905,67,,52.2,,PP,,0,,1,,6,0,1,,,,12,,months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252905,69,,52.2,,PP,,0,,1,,5,0,1,40,39.6,,12,,months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263234,347,52,52.2,,NCS,,0,,0,,18.8,,,52,52.5,,,,,51,50.7,12,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263234,348,52,52.2,,NCS,,0,,0,,19.2,,,51,51.3,,,,,49,48.8,13,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436357,2643,52,52.2,,C,,1,,0,,12.6,,,,,,,,,,,22,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436357,2644,52,52.2,,C,,1,,0,,4.1,,,,,,,,,,,24,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296278,503,26,26.1,,PP,,0,,1,,5.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296278,504,26,26.1,,PP,,0,,1,,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263151,250,52,52.2,,PP,,0,,1,,11.1,,,,,,,,,,,16,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263151,252,52,52.2,,PP,,0,,1,,7.4,,,,,,,,,,,16,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437483,2314,,,,PP,,0,,1,,10,,,,,,,,,54,53.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437483,2313,,,,PP,,0,,1,,20,,,,,,,,,52,52.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423137,2048,26,26.1,,PP,,0,,1,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423137,2047,26,26.1,,PP,,0,,1,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263084,163,26,26.1,,C,,1,,0,,15,,,,,,,,,36,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263084,164,26,26.1,,C,,1,,0,,8,,,,,,,,,36,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263120,204,,,,PP,,0,,1,,11,,,40,40.5,,,,,43,43.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263120,199,,,,PP,,0,,1,,24,,,,,,,,,38,37.9,22,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263120,203,,,,PP,,0,,1,,17,,,47,47.2,,,,,39,39.3,22,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263120,200,,,,PP,,0,,1,,25,,,42,41.7,,,,,37,37.1,20,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263120,201,,,,PP,,0,,1,,17,,,46,45.7,,,,,41,40.9,20,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263120,202,,,,PP,,0,,1,,18,,,45,44.7,,,,,38,37.8,21,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437481,2280,157,156.6,,PP,,0,,1,,8,,,,,,,,,43,42.7,27,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437481,2279,157,156.6,,PP,,0,,1,,11,,,,,,,,,41,40.6,30,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263107,182,52,52.2,,NCS,,0,,0,,39,,,,,,,,,53,52.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263107,183,52,52.2,,NCS,,0,,0,,2,,,,,,,,,55,55.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437501,2203,26,26.1,,PP,,0,,1,,32,,,,,,,,,44,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437501,2202,26,26.1,,PP,,0,,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296453,829,52,52.2,,C,,1,,0,,12.4,,,47,47.3,,,,,41,41.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296453,831,52,52.2,,C,,1,,0,,7.9,,,,,,,,,43,43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296453,830,52,52.2,,C,,1,,0,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263133,230,,,,PP,,0,,1,,36.6,,,,,,,,,,,20,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263133,229,,,,PP,,0,,1,,18,,,46,46.2,,,,,55,55.3,21,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263133,228,,,,PP,,0,,1,,34.2,,,37,36.8,,,,,54,54.4,20,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252978,92,,26.1,,C,,1,,0,,10,0,1,,,,6,,months,39,38.8,18,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252978,87,,26.1,,C,,1,,0,,10,0,1,,,,6,,months,40,39.5,19,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423133,2040,30,30.45,,C,,1,,0,,5.7,,,59,59.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423133,2039,30,30.45,,C,,1,,0,,5.6,,,61,60.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263276,398,,,,C,,1,,0,,3.7,,,,,,,,,43,42.98,18,17.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263276,397,,,,C,,1,,0,,6.6,,,,,,,,,44,44.07,17,17.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423111,2072,,,,PP,,0,,1,,8,,,,,,,,,58,57.5,20,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423111,2071,,,,PP,,0,,1,,20,,,,,,,,,56,56.3,18,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423111,2070,,,,PP,,0,,1,,45,,,,,,,,,56,56.1,19,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252899,56,,156.6,,NCS,,0,,0,,36,,,,,,3,,years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252899,57,,156.6,,NCS,,0,,0,,14,,,,,,3,,years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263171,282,26,26.1,,C,,1,,0,,9.3,,,,,,,,,42,42.3,10,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263171,281,26,26.1,,C,,1,,0,,21.5,,,,,,,,,40,40.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437458,2225,13,8,,PP,,0,,1,,64.7,,,61,60.9,,8,,weeks,45,45.24,19,18.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437458,2226,13,8,,PP,,0,,1,,45.9,,,63,63.3,,8,,weeks,45,44.61,19,19.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437458,2227,13,13.05,,PP,,0,,1,,5.4,,,59,58.9,,,,,47,47.07,19,19.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252901,59,,52.2,,PP,,0,,1,,16,0,1,,,,12,,months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252901,58,,52.2,,PP,,0,,1,,19,0,1,,,,12,,months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252901,60,,52.2,,PP,,0,,1,,14,0,1,,,,12,,months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252901,61,,52.2,,PP,,0,,1,,10,0,1,,,,12,,months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437454,2193,4,4.35,,C,,1,,0,,60,,,,,,,,,38,37.9,17,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437454,2194,4,4.35,,C,,1,,0,,52.4,,,5,4.8,,,,,33,32.9,13,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263266,385,26,26.1,,C,,1,,0,,1.9,,,,,,,,,38,38.1,22,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263266,386,26,26.1,,C,,1,,0,,0,,,,,,,,,37,37.2,24,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252976,27,,12,,C,,1,,0,,18.8,0,1,,,,12,,weeks,,,21,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252976,28,,12,,C,,1,,0,,18.5,0,1,,,,12,,weeks,46,46.1,21,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252976,29,,12,,C,,1,,0,,10.5,0,1,,,,12,,weeks,46,45.9,20,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252976,24,,12,,C,,1,,0,,13.7,0,1,,,,12,,weeks,47,46.7,20,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252976,25,,12,,C,,1,,0,,13,0,1,,,,12,,weeks,48,47.6,21,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252976,30,,12,,C,,1,,0,,25.5,0,1,,,,12,,weeks,46,45.8,21,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252976,23,,12,,C,,1,,0,,18.3,0,1,,,,12,,weeks,47,47.2,21,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252976,26,,12,,C,,1,,0,,8.3,0,1,,,,12,,weeks,47,46.9,21,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423119,2111,,26.1,,PP,,0,,1,,46,0,1,,11.5,,6,,months,,49.73,,14.38,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,,USA,,26,,,,,,
423119,2112,,26.1,,PP,,0,,1,,5,0,1,,18.5,,6,,months,,51.22,,15.39,,,0,1,,,,,0,1,0,1,0,1,,,,,,,0,1,,USA,,27,,,,,,
252984,21,,,,C,,1,,0,,8,0,1,,,,na,,,27,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
252984,22,,,,C,,1,,0,,6,0,1,,,,na,,,28,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
263185,290,26,26.1,,PP,,0,,1,,25,,,,,,,,,45,45.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263185,291,26,26.1,,PP,,0,,1,,24,,,,,,,,,45,45.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436364,2659,26,26.1,,C,,1,,0,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436364,2660,26,26.1,,C,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263102,177,,,,PP,,0,,1,,40,,,,,,,,,44,43.7,22,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263102,178,,,,PP,,0,,1,,0,,,,,,,,,42,41.7,26,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437441,2213,26,26.1,,PP,,0,,1,,44.4,,,,,,,,,45,45.4,13,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437441,2212,26,26.1,,PP,,0,,1,,25,,,,,,,,,,,16,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437441,2211,26,26.1,,PP,,0,,1,,37.5,,,,,,,,,41,40.7,12,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319590,653,,,,PP,,0,,1,,16,,,,,,,,,17,17.32,15,15.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319590,654,,,,PP,,0,,1,,21,,,,,,,,,17,17.32,16,15.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423251,2136,9,8.7,,PP,,0,,1,,13,,,,,,,,,42,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423251,2137,9,8.7,,PP,,0,,1,,8,,,,,,,,,42,41.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263274,396,,52.2,,PP,,0,,1,,7.1,,,,,,12,,months,,,19,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263274,395,,52.2,,PP,,0,,1,,12.2,,,,,,12,,months,,,17,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263164,272,26,26.1,,PP,,0,,1,,2.8,,,61,61.1,,,,,44,44.5,17,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263164,274,26,26.1,,PP,,0,,1,,5.9,,,59,58.8,,,,,,,19,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263164,273,26,26.1,,PP,,0,,1,,10.7,,,64,64.3,,,,,46,45.8,15,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263244,357,52,52.2,,PP,,0,,1,,24.9,,,46,46.4,,,,,52,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263244,358,52,52.2,,PP,,0,,1,,22.1,,,,,,,,,51,50.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423129,1957,26,26.1,,PP,,0,,1,,11,,,,,,,,,47,46.7,15,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423129,1958,26,26.1,,PP,,0,,1,,7,,,,,,,,,,,14,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437478,2275,30,30.45,,C,,1,,0,,10.3,,,,,,,,,,,17,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437478,2274,30,30.45,,C,,1,,0,,13.2,,,68,67.7,,,,,46,46.5,17,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437478,2276,30,30.45,,C,,1,,0,,9,,,67,67.2,,,,,46,46.1,18,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263070,136,,52.2,,PP,,0,,1,,28,0,1,69,68.7,,12,,months,40,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263070,135,,52.2,,PP,,0,,1,,29,0,1,69,68.7,,12,,months,40,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263082,162,26,26.1,,C,,1,,0,,12.7,,,38,37.5,,,,,57,57.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263082,161,26,26.1,,C,,1,,0,,24.5,,,20,19.6,,,,,56,56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263082,160,26,26.1,,C,,1,,0,,24.5,,,23,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321120,716,52,52.2,,C,,1,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321120,715,52,52.2,,C,,1,,0,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296258,459,52,52.2,,C,,1,,0,,1.6,,,55,55.3,,,,,41,40.7,17,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296258,458,52,52.2,,C,,1,,0,,4.4,,,55,55.3,,,,,41,40.7,18,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321144,740,26,26.1,,PP,,0,,1,,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321144,739,26,26.1,,PP,,0,,1,,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437480,2278,,,,C,,1,,0,,8,,,,,,,,,45,45.1,16,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437480,2277,,,,C,,1,,0,,48,,,,,,,,,48,48.1,16,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437455,2208,,,,PP,,0,,1,,30.3,,,,,,,,,55,55.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437455,2207,,,,PP,,0,,1,,66.7,,,6,6.1,,,,,57,56.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263085,165,4,4.35,,PP,,0,,1,,5,,,,,,,,,58,57.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263085,166,4,4.35,,PP,,0,,1,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423125,1948,,,,C,,1,,0,,25.5,,,,,,,,,47,47.3,19,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423125,1949,,,,C,,1,,0,,28.8,,,,,,,,,49,48.7,19,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263071,137,,52.2,,PP,,0,,1,,17.1,0,1,54,54.3,,12,,months,57,56.9,20,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263071,138,,52.2,,PP,,0,,1,,10.4,0,1,54,54.3,,12,,months,58,57.5,22,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437566,2607,26,26.1,,C,,1,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437566,2608,26,26.1,,C,,1,,0,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263125,209,78,78.3,,PP,,0,,1,,18.4,,,68,68.1,,,,,42,41.5,16,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263125,210,78,78.3,,PP,,0,,1,,13.21,,,71,71.1,,,,,42,42.2,15,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296332,412,,,,C,,1,,0,,7.7,,,53,52.7,,,,,43,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296332,411,,,,C,,1,,0,,6.6,,,50,50.2,,,,,44,44.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423042,2020,52,52.2,,C,,1,,0,,15.1,,,,,,,,,48,48.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423042,2021,52,52.2,,C,,1,,0,,26.7,,,,,,,,,48,47.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423042,2022,52,52.2,,C,,1,,0,,18.8,,,,,,,,,48,48.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436358,2654,26,26.1,,PP,,0,,1,,12.1,,,,,,,,,40,39.7,16,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436358,2653,26,26.1,,PP,,0,,1,,9.8,,,,,,,,,43,43.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437562,2799,,,,PP,,0,,1,,5,,,,,,,,,38,38.4,2,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437562,2798,,,,PP,,0,,1,,10.2,,,,,,,,,37,37.4,2,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252911,85,,26.1,,PP,,0,,1,,12,0,1,,,,6,,months,44,43.5,13,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252911,86,,26.1,,PP,,0,,1,,8,0,1,,,,6,,months,43,42.8,14,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296419,869,61,60.9,,C,,1,,0,,1.6,,,,,,,,,40,39.7,20,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296419,792,61,60.9,,C,,1,,0,,3.3,,,,,,,,,40,39.7,20,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296419,793,61,60.9,,C,,1,,0,,2.4,,,,,,,,,40,39.7,20,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296419,791,61,60.9,,C,,1,,0,,4.8,,,,,,,,,40,39.7,20,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263231,343,44,43.5,,PP,,0,,1,,10.1,,,,,,,,,23,22.9,13,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263231,342,44,43.5,,PP,,0,,1,,16.6,,,,,,,,,23,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263104,179,104,104.4,,PP,,0,,1,,14.8,,,60,60.2,,,,,46,46.4,23,22.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263104,181,104,104.4,,PP,,0,,1,,13.5,,,58,57.6,,,,,47,47.1,24,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263104,180,104,104.4,,PP,,0,,1,,14.7,,,58,57.8,,,,,48,48.2,24,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
